question,id,name,count
Question 1,106296,Heikki Ilmari Savolainen,39
Question 1,115354,"Joseph ""Josy"" Stoffel",38
Question 1,89187,Takashi Ono,32
Question 1,129196,Andreas Wecker,32
Question 1,55047,"Alfred August ""Al"" Jochim",31
Question 1,76437,Michel Mathiot,31
Question 1,106156,"Johann ""Hans"" Sauter",31
Question 1,94406,"Michael Fred Phelps, II",30
Question 1,133279,Yordan Yovchev Yovchev,30
Question 1,120051,Karl Tore William Thoresson,30
Question 1,21462,Oksana Aleksandrovna Chusovitina,29
Question 1,11951,Ole Einar Bjrndalen,27
Question 1,45219,Fabian Hambchen,26
Question 1,79523,"Georg ""Georges"" Miez",25
Question 1,91845,Gabriella Paruzzi,25
Question 1,59464,Kalofer Petrov Khristozov,24
Question 1,73506,Zoltn Magyar,24
Question 1,82860,Bohumil Mudk,24
Question 1,32574,Yukio Endo,24
Question 1,63087,Klaus Kste,24
