question,region,annee,nbdefemme
Question 3 b iii,France,1992,128
Question 3 b iii,France,1994,30
Question 3 b iii,France,1996,102
Question 3 b iii,France,1998,31
Question 3 b iii,France,2000,125
Question 3 b iii,France,2002,27
Question 3 b iii,France,2004,113
Question 3 b iii,France,2006,32
Question 3 b iii,France,2008,121
Question 3 b iii,France,2010,37
Question 3 b iii,France,2012,142
Question 3 b iii,France,2014,39
Question 3 b iii,France,2016,167
Question 3 b iii,Germany,1992,199
Question 3 b iii,Germany,1994,33
Question 3 b iii,Germany,1996,187
Question 3 b iii,Germany,1998,47
Question 3 b iii,Germany,2000,181
Question 3 b iii,Germany,2002,69
Question 3 b iii,Germany,2004,191
Question 3 b iii,Germany,2006,61
Question 3 b iii,Germany,2008,183
Question 3 b iii,Germany,2010,56
Question 3 b iii,Germany,2012,171
Question 3 b iii,Germany,2014,75
Question 3 b iii,Germany,2016,194
Question 3 b iii,Japan,1992,100
Question 3 b iii,Japan,1994,16
Question 3 b iii,Japan,1996,149
Question 3 b iii,Japan,1998,64
Question 3 b iii,Japan,2000,110
Question 3 b iii,Japan,2002,44
Question 3 b iii,Japan,2004,167
Question 3 b iii,Japan,2006,52
Question 3 b iii,Japan,2008,165
Question 3 b iii,Japan,2010,43
Question 3 b iii,Japan,2012,155
Question 3 b iii,Japan,2014,61
Question 3 b iii,Japan,2016,164
Question 3 b iii,South Korea,1992,76
Question 3 b iii,South Korea,1994,10
Question 3 b iii,South Korea,1996,113
Question 3 b iii,South Korea,1998,11
Question 3 b iii,South Korea,2000,106
Question 3 b iii,South Korea,2002,15
Question 3 b iii,South Korea,2004,119
Question 3 b iii,South Korea,2006,14
Question 3 b iii,South Korea,2008,106
Question 3 b iii,South Korea,2010,18
Question 3 b iii,South Korea,2012,115
Question 3 b iii,South Korea,2014,30
Question 3 b iii,South Korea,2016,104
Question 3 b iii,UK,1992,152
Question 3 b iii,UK,1994,7
Question 3 b iii,UK,1996,116
Question 3 b iii,UK,1998,7
Question 3 b iii,UK,2000,129
Question 3 b iii,UK,2002,18
Question 3 b iii,UK,2004,103
Question 3 b iii,UK,2006,16
Question 3 b iii,UK,2008,141
Question 3 b iii,UK,2010,24
Question 3 b iii,UK,2012,257
Question 3 b iii,UK,2014,21
Question 3 b iii,UK,2016,159
