question,region,sex,medaille,annee,nbdefemme
Question 3 b v,France,F,t,1992,0.10156250000000000000
Question 3 b v,France,F,t,1994,0.13333333333333333333
Question 3 b v,France,F,t,1996,0.14705882352941176471
Question 3 b v,France,F,t,1998,0.09677419354838709677
Question 3 b v,France,F,t,2000,0.09600000000000000000
Question 3 b v,France,F,t,2002,0.22222222222222222222
Question 3 b v,France,F,t,2004,0.15929203539823008850
Question 3 b v,France,F,t,2006,0.15625000000000000000
Question 3 b v,France,F,t,2008,0.08264462809917355372
Question 3 b v,France,F,t,2010,0.16216216216216216216
Question 3 b v,France,F,t,2012,0.20422535211267605634
Question 3 b v,France,F,t,2014,0.07692307692307692308
Question 3 b v,France,F,t,2016,0.16766467065868263473
Question 3 b v,Germany,F,t,1992,0.41206030150753768844
Question 3 b v,Germany,F,t,1994,0.33333333333333333333
Question 3 b v,Germany,F,t,1996,0.19251336898395721925
Question 3 b v,Germany,F,t,1998,0.34042553191489361702
Question 3 b v,Germany,F,t,2000,0.29281767955801104972
Question 3 b v,Germany,F,t,2002,0.28985507246376811594
Question 3 b v,Germany,F,t,2004,0.35602094240837696335
Question 3 b v,Germany,F,t,2006,0.32786885245901639344
Question 3 b v,Germany,F,t,2008,0.21857923497267759563
Question 3 b v,Germany,F,t,2010,0.37500000000000000000
Question 3 b v,Germany,F,t,2012,0.14035087719298245614
Question 3 b v,Germany,F,t,2014,0.16000000000000000000
Question 3 b v,Germany,F,t,2016,0.32474226804123711340
Question 3 b v,Japan,F,t,1992,0.11000000000000000000
Question 3 b v,Japan,F,t,1994,0.06250000000000000000
Question 3 b v,Japan,F,t,1996,0.10738255033557046980
Question 3 b v,Japan,F,t,1998,0.03125000000000000000
Question 3 b v,Japan,F,t,2000,0.32727272727272727273
Question 3 b v,Japan,F,t,2002,0.02272727272727272727
Question 3 b v,Japan,F,t,2004,0.22155688622754491018
Question 3 b v,Japan,F,t,2006,0.01923076923076923077
Question 3 b v,Japan,F,t,2008,0.16363636363636363636
Question 3 b v,Japan,F,t,2010,0.09302325581395348837
Question 3 b v,Japan,F,t,2012,0.32258064516129032258
Question 3 b v,Japan,F,t,2014,0.03278688524590163934
Question 3 b v,Japan,F,t,2016,0.16463414634146341463
Question 3 b v,South Korea,F,t,1992,0.32894736842105263158
Question 3 b v,South Korea,F,t,1994,0.40000000000000000000
Question 3 b v,South Korea,F,t,1996,0.39823008849557522124
Question 3 b v,South Korea,F,t,1998,0.36363636363636363636
Question 3 b v,South Korea,F,t,2000,0.10377358490566037736
Question 3 b v,South Korea,F,t,2002,0.33333333333333333333
Question 3 b v,South Korea,F,t,2004,0.22689075630252100840
Question 3 b v,South Korea,F,t,2006,0.35714285714285714286
Question 3 b v,South Korea,F,t,2008,0.26415094339622641509
Question 3 b v,South Korea,F,t,2010,0.22222222222222222222
Question 3 b v,South Korea,F,t,2012,0.12173913043478260870
Question 3 b v,South Korea,F,t,2014,0.23333333333333333333
Question 3 b v,South Korea,F,t,2016,0.09615384615384615385
Question 3 b v,UK,F,t,1992,0.15131578947368421053
Question 3 b v,UK,F,t,1994,0.14285714285714285714
Question 3 b v,UK,F,t,1996,0.00862068965517241379
Question 3 b v,UK,F,t,2000,0.11627906976744186047
Question 3 b v,UK,F,t,2002,0.33333333333333333333
Question 3 b v,UK,F,t,2004,0.19417475728155339806
Question 3 b v,UK,F,t,2006,0.06250000000000000000
Question 3 b v,UK,F,t,2008,0.19148936170212765957
Question 3 b v,UK,F,t,2010,0.04166666666666666667
Question 3 b v,UK,F,t,2012,0.17509727626459143969
Question 3 b v,UK,F,t,2014,0.28571428571428571429
Question 3 b v,UK,F,t,2016,0.37106918238993710692
