question,region,sex,medaille,annee,nbdefemme
Question 3 b vi,France,F,t,1992,0.18840579710144927536
Question 3 b vi,France,M,t,1992,0.81159420289855072464
Question 3 b vi,France,F,t,1994,0.45454545454545454545
Question 3 b vi,France,M,t,1994,0.54545454545454545455
Question 3 b vi,France,F,t,1996,0.37254901960784313725
Question 3 b vi,France,M,t,1996,0.62745098039215686275
Question 3 b vi,France,F,t,1998,0.20000000000000000000
Question 3 b vi,France,M,t,1998,0.80000000000000000000
Question 3 b vi,France,F,t,2000,0.19696969696969696970
Question 3 b vi,France,M,t,2000,0.80303030303030303030
Question 3 b vi,France,F,t,2002,0.40000000000000000000
Question 3 b vi,France,M,t,2002,0.60000000000000000000
Question 3 b vi,France,F,t,2004,0.41509433962264150943
Question 3 b vi,France,M,t,2004,0.58490566037735849057
Question 3 b vi,France,F,t,2006,0.40000000000000000000
Question 3 b vi,France,M,t,2006,0.60000000000000000000
Question 3 b vi,France,F,t,2008,0.12987012987012987013
Question 3 b vi,France,M,t,2008,0.87012987012987012987
Question 3 b vi,France,F,t,2010,0.57142857142857142857
Question 3 b vi,France,M,t,2010,0.42857142857142857143
Question 3 b vi,France,F,t,2012,0.37804878048780487805
Question 3 b vi,France,M,t,2012,0.62195121951219512195
Question 3 b vi,France,F,t,2014,0.16666666666666666667
Question 3 b vi,France,M,t,2014,0.83333333333333333333
Question 3 b vi,France,F,t,2016,0.29166666666666666667
Question 3 b vi,France,M,t,2016,0.70833333333333333333
Question 3 b vi,Germany,F,t,1992,0.42796610169491525424
Question 3 b vi,Germany,M,t,1992,0.57203389830508474576
Question 3 b vi,Germany,F,t,1994,0.35000000000000000000
Question 3 b vi,Germany,M,t,1994,0.65000000000000000000
Question 3 b vi,Germany,F,t,1996,0.38709677419354838710
Question 3 b vi,Germany,M,t,1996,0.61290322580645161290
Question 3 b vi,Germany,F,t,1998,0.56818181818181818182
Question 3 b vi,Germany,M,t,1998,0.43181818181818181818
Question 3 b vi,Germany,F,t,2000,0.49152542372881355932
Question 3 b vi,Germany,M,t,2000,0.50847457627118644068
Question 3 b vi,Germany,F,t,2002,0.47540983606557377049
Question 3 b vi,Germany,M,t,2002,0.52459016393442622951
Question 3 b vi,Germany,F,t,2004,0.49664429530201342282
Question 3 b vi,Germany,M,t,2004,0.50335570469798657718
Question 3 b vi,Germany,F,t,2006,0.50000000000000000000
Question 3 b vi,Germany,M,t,2006,0.50000000000000000000
Question 3 b vi,Germany,F,t,2008,0.44444444444444444444
Question 3 b vi,Germany,M,t,2008,0.55555555555555555556
Question 3 b vi,Germany,F,t,2010,0.53703703703703703704
Question 3 b vi,Germany,M,t,2010,0.46296296296296296296
Question 3 b vi,Germany,F,t,2012,0.28723404255319148936
Question 3 b vi,Germany,M,t,2012,0.71276595744680851064
Question 3 b vi,Germany,F,t,2014,0.38888888888888888889
Question 3 b vi,Germany,M,t,2014,0.61111111111111111111
Question 3 b vi,Germany,F,t,2016,0.42767295597484276730
Question 3 b vi,Germany,M,t,2016,0.57232704402515723270
Question 3 b vi,Japan,F,t,1992,0.20338983050847457627
Question 3 b vi,Japan,M,t,1992,0.79661016949152542373
Question 3 b vi,Japan,F,t,1994,0.10000000000000000000
Question 3 b vi,Japan,M,t,1994,0.90000000000000000000
Question 3 b vi,Japan,F,t,1996,0.38095238095238095238
Question 3 b vi,Japan,M,t,1996,0.61904761904761904762
Question 3 b vi,Japan,F,t,1998,0.15384615384615384615
Question 3 b vi,Japan,M,t,1998,0.84615384615384615385
Question 3 b vi,Japan,F,t,2000,0.88636363636363636364
Question 3 b vi,Japan,M,t,2000,0.11363636363636363636
Question 3 b vi,Japan,F,t,2002,0.50000000000000000000
Question 3 b vi,Japan,M,t,2002,0.50000000000000000000
Question 3 b vi,Japan,F,t,2004,0.41935483870967741935
Question 3 b vi,Japan,M,t,2004,0.58064516129032258065
Question 3 b vi,Japan,F,t,2006,1.00000000000000000000
Question 3 b vi,Japan,F,t,2008,0.52941176470588235294
Question 3 b vi,Japan,M,t,2008,0.47058823529411764706
Question 3 b vi,Japan,F,t,2010,0.57142857142857142857
Question 3 b vi,Japan,M,t,2010,0.42857142857142857143
